frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_levl,general_standard_num
3015,绎,yì,to unravel or unreel silk; to interpret,糸,120.5,8,6,1349
3016,庶,shù,"numerous, various; multitude",广,53.8,11,6,2378
3017,脯,pú,dried meat; preserved fruits,肉,130.7,11,6,2357
3018,迭,dié,"repeatedly, frequently",辵,162.5,8,6,1123
3019,睦,mù,"friendly, amiable, peaceful",目,109.8,13,6,2897
3020,窍,qiào,"hole, opening, aperture",穴,116.5,10,6,2103
3021,粥,zhōu,"rice gruel, congee",米,119.6,12,6,2803
3022,庵,ān,Buddhist monastery or nunnery,广,53.8,11,6,2380
3023,沧,cāng,"blue, dark green; cold",水,85.4,7,6,866
3024,怠,dài,"idle, remiss, negligent; neglect",心,61.5,9,6,1747
3025,沁,qìn,"soak into, seep in, percolate",水,85.4,7,6,872
3026,奕,yì,"in sequence, orderly; abundant",大,37.6,9,6,4306
3027,咙,lóng,throat,口,30.5,8,6,1089
3028,氨,ān,ammonia; hydrogen nitride,气,84.6,10,6,1937
3029,矗,chù,"straight, upright, erect, lofty",目,109.19,24,6,3500
3030,盔,kuī,helmet; bowl; basin,皿,108.6,11,6,2243
3031,拇,mǔ,thumb; big toe,手,64.5,8,6,994
3032,沛,pèi,"abundant, full, copious; sudden",水,85.4,7,6,857
3033,榻,tà,"cot, couch, bed",木,75.1,14,6,5662
3034,揣,chuāi,put things under clothes,手,64.9,12,6,2525
3035,崭,zhǎn,"high, steep, precipitous; new",山,46.8,11,6,2294
3036,鞘,qiào,"scabbard, sheath",革,177.7,16,6,6047
3037,鞠,jū,"bow, bend; rear, raise, nourish",革,177.8,17,6,3391
3038,垦,kěn,"cultivate, reclaim, to farm land",土,32.6,9,6,1719
3039,洽,qià,"to blend with, be in harmony; to penetrate; to cover; a river in Shenxi",水,85.6,9,6,1674
3040,唾,tuò,"spit, spit on; saliva",口,30.8,11,6,2287
3041,橱,chú,"cabinet, wardrobe, cupboard",木,75.12,16,6,3330
3042,仕,shì,official; serve government,人,9.3,5,6,3542
3043,蜘,zhī,spider,虫,142.8,14,6,3108
3044,痰,tán,"phlegm, mucus, spittle",疒,104.8,13,6,2991
3045,袜,wà,"socks, stockings",衣,145.5,10,4,2115
3046,峙,zhì,"stand erect, stand up; pile up",山,46.6,9,6,4230
3047,柬,jiǎn,"letter, invitation; choose",木,75.5,9,6,1442
3048,蝉,chán,cicada; continuous,虫,142.8,14,6,3109
3049,蟹,xiè,"crab, brachyura",虫,142.13,19,6,3464
3050,谏,jiàn,"remonstrate, admonish",言,149.9,11,6,4995
3051,鹃,juān,cuckoo,鳥,196.7,12,6,2640
3052,擎,qíng,"lift up, hold up, support",手,64.13,16,6,3324
3053,皓,hào,"bright, luminous; clear; hoary",白,106.7,12,6,2698
3054,朕,zhèn,I,月,74.6,10,6,4595
3055,疤,bā,"scar, cicatrix; birthmark",疒,104.4,9,6,1628
3056,禺,yú,district; mountain in Zhejiang,禸,114.4,9,6,4195
3057,铲,chǎn,"spade, shovel, trowel, scoop",金,167.6,11,6,2308
3058,酶,méi,enzymes; (Cant.) soft,酉,164.7,14,6,5673
3059,钝,dùn,"blunt, obtuse; dull; flat; dull-witted",金,167.4,9,6,1526
3060,氓,máng,people; subjects; vassals,氏,83.4,8,6,1226
3061,匣,xiá,"small box, case, coffer",匚,22.5,7,6,692
3062,弧,hú,"wooden bow; arc, crescent",弓,57.5,8,6,1312
3063,峨,é,lofty,山,46.7,10,6,1920
3064,锥,zhuī,"gimlet, awl, drill, auger; bore",金,167.8,13,6,2941
3065,揪,jiū,"grasp with hand, pinch",手,64.9,12,6,2527
3066,杠,gāng,"lever, pole, crowbar; sharpen",木,75.3,7,6,679
3067,吭,kēng,throat,口,30.4,7,6,746
3068,崛,jué,"towering, eminent; rise abruptly",山,46.8,11,6,2300
3069,诬,wū,make false accusation; defame,言,149.7,9,6,1706
3070,冉,rǎn,tender; weak; proceed gradually,冂,13.3,5,6,258
3071,抒,shū,express; eliminate; relieve,手,64.4,7,6,659
3072,庚,gēng,7th heavenly stem,广,53.5,8,6,1219
3073,悍,hàn,"courageous, brave; violent",心,61.7,10,6,2093
3074,靡,mí,"divide, disperse, scatter",非,175.11,19,6,3466
3075,晦,huì,"dark, unclear, obscure; night",日,72.7,11,6,2269
3076,醋,cù,"vinegar; jealousy, envy",酉,164.8,15,5,3222
3077,壕,háo,"trench, ditch, channel, moat",土,32.14,17,6,6201
3078,锯,jù,a saw; to saw; amputate,金,167.8,13,6,2944
3079,夭,yāo,"young, fresh-looking; die young",大,37.1,4,6,126
3080,咦,yí,exclamation of surprise,口,30.6,9,6,4202
3081,侈,chǐ,"luxurious, extravagant",人,9.6,8,6,1152
3082,婢,bì,servant girl; your servant,女,38.8,11,6,5020
3083,猾,huá,"crafty, cunning, shrewd; deceitful",犬,94.1,12,5,2720
3084,徘,pái,"walk back and forth, hesitate",彳,60.8,11,6,2339
3085,硝,xiāo,"saltpeter, niter; to tan",石,112.7,12,6,2590
3086,煽,shān,"stir up, incite, agitate, provoke",火,86.1,14,6,3159
3087,皂,zào,soap; black; menial servant,白,106.2,7,5,787
3088,舵,duò,"rudder, helm",舟,137.5,11,6,2346
3089,嗦,suo,suck,口,30.1,13,6,2904
3090,狈,bèi,a legendary animal with short forelegs which rode a wolf,犬,94.4,7,6,813
3091,靴,xuē,boots,革,177.4,13,6,2849
3092,捂,wǔ,resist,手,64.7,10,6,1785
3093,疮,chuāng,"tumor, boil, sore, wound",疒,104.4,9,6,1625
3094,郝,hǎo,surname; place in modern Shanxi,邑,163.7,9,6,4103
3095,苛,kē,"small, petty; harsh, rigorous",艸,140.5,8,6,1001
3096,秽,huì,"dirty, unclean; immoral, obscene",禾,115.6,11,6,2315
3097,茜,qiàn,"madder, rubia cordifolia; reeds",艸,140.6,9,6,4108
3098,搓,cuō,to rub or roll between the hands,手,64.1,12,6,2534
3099,芸,yún,"rue, herb used to keep insects away; to cut grass or weeds; art, talent, ability, craft, technique, performance, acting, trick, stunt",艸,140.4,7,6,3661
3100,酱,jiàng,any jam-like or paste-like food,酉,164.6,13,5,2986
3101,赁,lìn,"rent, hire; hired person",貝,154.6,10,6,1965
3102,檐,yán,"eaves of house; brim, rim",木,75.13,17,6,3395
3103,饷,xiǎng,rations and pay for soldiers,食,184.6,9,6,4299
3104,蕉,jiāo,banana; plantain,艸,140.12,15,3,3209
3105,铀,yóu,uranium,金,167.5,10,6,4536
3106,苔,tái,"moss, lichen",艸,140.5,8,6,1015
3107,赦,shè,"forgive, remit, pardon",赤,155.4,11,6,2172
3108,缎,duàn,satin,糸,120.9,12,6,2817
3109,舷,xián,"the sides of a boat, bulwarks; a gunwale",舟,137.5,11,6,4918
3110,筷,kuài,chopsticks,竹,118.7,13,3,2955
3111,朔,shuò,first day of lunar month; the north,月,74.6,10,6,4635
3112,婪,lán,"covet; covetous, avaricious",女,38.8,11,6,2222
3113,紊,wěn,"confused, disorder",糸,120.4,10,6,2036
3114,厮,sī,servant; to make a disturbance,厂,27.12,14,6,5675
3115,婿,xù,son-in-law; husband,女,38.9,12,6,2812
3116,寥,liáo,"few, scarce; empty, deserted",宀,40.11,14,6,3176
